Date,Open,High,Low,Close,Volume
03/02/2021,"718.28","721.11","685.00","686.44","23,732,160"
03/01/2021,"690.11","872.00","685.05","718.43","27,136,240"
02/26/2021,"700.00","706.70","659.51","675.50","41,089,168"
02/25/2021,"726.15","737.21","670.58","682.22","39,023,859"
02/24/2021,"711.85","745.00","694.17","742.02","36,766,953"
02/23/2021,"662.13","713.61","619.00","698.84","66,606,883"
02/22/2021,"762.64","768.50","710.20","714.50","37,269,719"
02/19/2021,"795.00","796.79","777.37","781.30","18,958,260"
02/18/2021,"780.90","794.69","776.27","787.38","17,957,061"
02/17/2021,"779.09","799.84","762.01","798.15","26,078,900"
02/16/2021,"818.00","821.00","792.44","796.22","19,802,320"
02/12/2021,"801.26","817.33","785.33","816.12","23,768,311"
02/11/2021,"812.44","829.88","801.73","811.66","21,622,750"
02/10/2021,"843.64","844.82","800.02","804.82","36,216,090"
02/09/2021,"855.12","859.80","841.75","849.46","15,157,650"
02/08/2021,"869.67","877.77","854.75","863.42","20,161,721"
02/05/2021,"845.00","864.77","838.97","852.23","18,566,641"
02/04/2021,"855.00","856.50","833.42","849.99","15,812,660"
02/03/2021,"877.02","878.08","853.06","854.69","18,343,510"
02/02/2021,"844.68","880.50","842.20","872.79","24,346,211"
02/01/2021,"814.29","842.00","795.56","839.81","25,391,391"
01/29/2021,"830.00","842.41","780.10","793.53","34,990,754"
01/28/2021,"820.00","848.00","801.00","835.43","26,378,051"
01/27/2021,"870.35","891.50","858.66","864.16","27,333,961"
01/26/2021,"891.38","895.90","871.60","883.09","23,131,600"
01/25/2021,"855.00","900.40","838.82","880.80","41,173,398"
01/22/2021,"834.31","848.00","828.62","846.64","20,066,500"
01/21/2021,"855.00","855.72","841.42","844.99","20,598,131"
01/20/2021,"858.74","859.50","837.28","850.45","25,665,881"
01/19/2021,"837.80","850.00","833.00","844.55","25,366,980"
01/15/2021,"852.00","859.90","819.10","826.16","38,777,602"
01/14/2021,"843.39","863.00","838.75","845.00","31,266,330"
01/13/2021,"852.76","860.47","832.00","854.41","33,312,500"
01/12/2021,"831.00","868.00","827.34","849.44","46,270,719"
01/11/2021,"849.40","854.43","803.62","811.19","59,554,152"
01/08/2021,"856.00","884.49","838.39","880.02","75,055,531"
01/07/2021,"777.63","816.99","775.20","816.04","51,498,953"
01/06/2021,"758.49","774.00","749.10","755.98","44,699,969"
01/05/2021,"723.66","740.84","719.20","735.11","32,245,170"
01/04/2021,"719.46","744.49","717.19","729.77","48,638,191"
